Institution: ID,Country,Region 1,Region 2,Continent,City,Name,Institution type,Official Language,Language requirement 1,Language cerf score 1,Language requirement 2,Language cerf score 2,Language requirement 3,Language cerf score 3,Minimum GPA/4
2615,Colombia,South America,Latin America and the Caribbean,South America,, ALISYS DIGITAL COLOMBIA SAS,Partner Company,Spanish,,,,,,,
1917,Cyprus,Western Asia,,Asia,Nicosia, Πανεπιστήμιο Κύπρου,"Non Partner University - Potential, SGroup","Greek, Turkish",,,,,,,"2,6"
239,Finland,Northern Europe,,Europe,Espoo,[no longer existing] Aalto-yliopisto,Partner University,"Swedish, Finnish",English,B2,,,,,"2,6"
279,France,Western Europe,,Europe,Rouen,[No longer existing] Rouen Business School,Partner University,French,,,,,,,"2,6"
959,France,Western Europe,,Europe,Nice,[no longer existing] Université Côte d’Azur,partner university,French,,,,,,,"2,6"
958,France,Western Europe,,Europe,Paris,[No longer existing] Université Paris Descartes,partner university,French,,,,,,,"2,6"
229,Denmark,Northern Europe,,Europe,Aalborg,Aalborg Universitet,Partner University,Danish,English,B2,,,,,3
230,Denmark,Northern Europe,,Europe,Århus,Aarhus Universitet,partner university,Danish,,,,,,,"2,6"
1748,Turkey,Western Asia,,Asia,Kayseri,Abdullah Gül University,Non Partner University - Potential,Turkish,,,,,,,"2,6"
502,United Kingdom,Northern Europe,,Europe,Aberystwyth,Aberystwyth University,partner university,English,,,,,,,"2,6"
3115,Canada,Northern America,,North America,Québec,Abogados sin fronteras Canadá,"NGO, Non Partner Company","French, English",,,,,,,
2173,Romania,Eastern Europe,,Europe,Bucureşti,Academia Tehnica Militara din Bucuresti,"Government, partner university",Romanian,,,,,,,"2,6"
241,France,Western Europe,,Europe,Cayenne,Académie de la Guyane,partner university,French,,,,,,,"2,6"
368,Italy,Southern Europe,,Europe,Norma,Accademia Musicale Il Seminario,Partner University,Italian,,,,,,,"2,6"
2654,Germany,Western Europe,,Europe,Berlin,ADAM Audio GmbH,Partner Company,German,,,,,,,
2440,Colombia,South America,Latin America and the Caribbean,South America,Bogotá,Aeronaútica Civil de Colombia,Non Partner University - Potential,Spanish,,,,,,,"2,6"
1730,Colombia,South America,Latin America and the Caribbean,South America,Bogota,AES International Education,Non Partner Company,Spanish,,,,,,,
1444,Mexico,Central America,Latin America and the Caribbean,North America,Mexico city,Agencia Mexicana de Cooperación Internacional para el Desarrollo,Government,Spanish,,,,,,,
141,Colombia,South America,Latin America and the Caribbean,South America,Bogotá,Agencia Nacional de Minería,Government,Spanish,,,,,,,
2806,Colombia,South America,Latin America and the Caribbean,South America,Bogotá,Agencia Nacional de Seguridad Vial,Government,Spanish,,,,,,,
2630,Colombia,South America,Latin America and the Caribbean,South America,Bogotá,Agencia para la Reincorporación y la Normalización,Government,Spanish,,,,,,,
1854,Colombia,South America,Latin America and the Caribbean,South America,Bogotá,Agencia Presidencial de Cooperación,Government,Spanish,,,,,,,
1349,France,Western Europe,,Europe,Paris,AGREENIUM,Non Partner Company,French,,,,,,,
1527,Egypt,Northern Africa,,Africa,Cairo,Ain Shams University,partner university,Modern Standard Arabic,,,,,,,"2,6"
697,France,Western Europe,,Europe,Marseille,Aix-Marseille Université,Partner University,French,English,B1,French,B2,,,"2,6"
1528,"Korea, Republic of",Eastern Asia,,Asia,Suwon,Ajou University,partner university,Korean,,,,,,,"2,6"
432,Poland,Eastern Europe,,Europe,Kraków,Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie,Partner University,Polish,English,B2,,,,,"2,6"
1514,Poland,Eastern Europe,,Europe,Warszawa,Akademia Leona Koźmińskiego,Partner University,Polish,English,B2,,,,,"2,6"
824,Czech Republic,Eastern Europe,,Europe,Praha,Akademie Múzických Umění v Praze,partner university,"Czech, Slovak",,,,,,,"2,6"
1226,Kazakhstan,Central Asia,,Asia,Almaty,Al-Farabi Kazakh National University,partner university,"Russian, Kazakh",,,,,,,"2,6"
2686,Palestine,Western Asia,,Asia,Jerusalem,Al-Quds University,Non Partner University - Potential,Arabic,,,,,,,"2,6"
312,Germany,Western Europe,,Europe,Freiburg,Albert-Ludwigs-Universität Freiburg im Breisgau,Partner University,German,,,,,,,"2,6"
3003,Colombia,South America,Latin America and the Caribbean,South America,Sibaté ,Alcaldía de Síbate,Government,Spanish,,,,,,,
2303,Germany,Western Europe,,Europe,Bonn,Alexander von Humboldt Foundation,Government,German,,,,,,,
1529,Egypt,Northern Africa,,Africa,Alexandria,Alexandria University,partner university,Modern Standard Arabic,,,,,,,"2,6"
1724,France,Western Europe,,Europe,Bogota,Alianza Francesa,Agency,French,,,,,,,
2481,Austria,Western Europe,,Europe,Klagenfurt,Alpen-Adria-Universität Klagenfurt,partner university,German,,,,,,,"2,6"
1478,Turkey,Western Asia,,Asia,Istanbul ,Altinbas University,partner university,Turkish,,,,,,,"2,6"
1747,United States,Northern America,,North America,Washington,American Bar Association,NGO,English,,,,,,,
746,United States,Northern America,,North America,New York,American Museum of Natural History,Partner University,English,,,,,,,"2,6"
528,United States,Northern America,,North America,Washington,American University,Partner University,English,,,,,,,"2,6"
529,United States,Northern America,,North America,Washington,American University - Washington College of Law,Partner University,English,,,,,,,"2,6"
530,United States,Northern America,,North America,Washington,American University - Washington Semester,Partner University,English,,,,,,,"2,6"
2725,Bulgaria,Eastern Europe,,Europe,Blagoevgrad,American University in Bulgaria,Partner University,Bulgarian,,,,,,,"2,6"
711,Egypt,Northern Africa,,Africa,Cairo,American University in Cairo,"GE3, partner university",Modern Standard Arabic,,,,,,,"2,6"
2941,Afghanistan,Southern Asia,,Asia,Kabul,American University of Afghanistan (AUAf),Non Partner University - Potential,"Pashto, Dari",,,,,,,"2,6"
1218,Lebanon,Western Asia,,Asia,Beirut,American University of Beirut,partner university,Arabic,,,,,,,"2,6"
2689,Kyrgyzstan,Central Asia,,Asia,Bishkek,American University of Central Asia,Partner University,"Russian, Kyrgyz",,,,,,,"2,6"
242,France,Western Europe,,Europe,Paris,American University of Paris,partner university,French,,,,,,,"2,6"
1530,United Arab Emirates,Western Asia,,Asia,Sharjah,American University of Sharjah,partner university,Arabic,,,,,,,"2,6"
531,United States,Northern America,,North America,Amherst,Amherst College,Partner University,English,,,,,,,"2,6"
1531,Iran,Southern Asia,,Asia,Tehran,Amirkabir University of Technology,partner university,Persian,,,,,,,"2,6"
1532,India,Southern Asia,,Asia,"Noida, Kolkata, Lucknow, Gurgaon, Jaipur, Gwalior ",Amity University,partner university,"Hindi, English",,,,,,,"2,6"
2609,United States,Northern America,,North America,Chicago,AMOpportunities creates inc.,Partner Company,English,,,,,,,
1519,Colombia,South America,Latin America and the Caribbean,South America,Bogotá,ANDI National Business Association of Colombia,NGO,Spanish,,,,,,,
1533,United Kingdom,Northern Europe,,Europe,Cambridge and Chelmsford,Anglia Ruskin University,partner university,English,,,,,,,"2,6"
1359,Colombia,South America,Latin America and the Caribbean,South America,Bogotá,Año Colombia Francia,Government,Spanish,,,,,,,
1494,United States,Northern America,,North America,Rockville,APOYOnline: Association for Heritage Preservation of the Americas,"NGO, Partner Company",English,,,,,,,
1405,Jordan,Western Asia,,Asia,Ammad,Applied Science Private University,partner university,"Arabic, Modern Standard Arabic",,,,,,,"2,6"
2591,United Kingdom,Northern Europe,,Europe,London,Architectural Association School of Architecture,Non Partner University - Non potential,English,,,,,,,"2,6"
1894,Colombia,South America,Latin America and the Caribbean,South America,Bogotá,Archivo General de la Nación,Government,Spanish,,,,,,,
747,Colombia,South America,Latin America and the Caribbean,South America,Bogotá,Areavisual S.A.S,Partner Company,Spanish,,,,,,,
532,United States,Northern America,,North America,Tempe,Arizona State University,Partner University,English,English,B2,,,,,"2,6"
1908,Colombia,South America,Latin America and the Caribbean,South America,Bogotá,Armada Nacional,Government,Spanish,,,,,,,
533,United States,Northern America,,North America,Savannah,Armstrong Atlantic State University,partner university,English,,,,,,,"2,6"
2932,Colombia,South America,Latin America and the Caribbean,South America,Bogotá,Arquidiócesis de Bogotá,Non Partner Company,Spanish,,,,,,,
243,France,Western Europe,,Europe,Paris,Arts et Métiers ParisTech,Partner University,French,,,,,,,"2,6"
2691,Ghana,Western Africa,Sub-Saharan Africa,Africa,Accra,Ashesi University,Partner University,English,,,,,,,"2,6"
2073,Colombia,South America,Latin America and the Caribbean,South America,Bogotá,Asia-Iberoamerica Cultural Foundation ,NGO,Spanish,,,,,,,
1517,Australia,Australia and New Zealand,,Oceania,,Asia-Pacific Association for International Education,partner university,English,,,,,,,"2,6"
2996,Colombia,South America,Latin America and the Caribbean,South America,Bogotá,Asociación Aconiño,"NGO, Non Partner Company",Spanish,,,,,,,
3008,Colombia,South America,Latin America and the Caribbean,South America,bogota,Asociación Colombiana de Empresas de Medicina Integral,Consortium,Spanish,,,,,,,
