Relation: Name,Academic year,Academic period,Number,Total duration,Time unit,Relation: Relation type,Relation: Direction,Relation: Status,Relation: Subject area,Relation: Level,Relation: Degree programme,Relation: Relation ID,Remaining seats,Relation: External institutions
Exchange Student Undergraduate-Universität Mannheim-School of Social Sciences-Outgoing,2018,Second Semester 2018,4,"4,00",Academic period,Stay opportunity,Outgoing,Active,,Undergraduate / Bachelor,Anthropology Bsc|| History Bsc|| Languages and Culture Bsc|| Philosophy Bsc|| Political Science Bsc|| Psychology Bsc|| Global Studies Bsc,541,4,Universität Mannheim
Exchange Student Undergraduate-Politecnico di Milano-Department of Architecture-Outgoing,2018,Second Semester 2018,1,"1,00",Academic period,Stay opportunity,Outgoing,Active,,Undergraduate / Bachelor,Architecture Bsc,153,0,Politecnico di Milano
Exchange Student Undergraduate-Politecnico di Milano-Department of Architecture-Outgoing,2019,First Semester 2019,1,"1,00",Academic period,Stay opportunity,Outgoing,Active,,Undergraduate / Bachelor,Architecture Bsc,153,0,Politecnico di Milano
Exchange Student Undergraduate-Maastricht University-School of Business and Economics-School of Management-Outgoing,2018,Second Semester 2018,7,"7,00",Academic period,Stay opportunity,Outgoing,Active,,Undergraduate / Bachelor,Administration Bsc,981,1,"Maastricht University, Maastricht University - School of Business and Economics"
Exchange Student Undergraduate-Universität Mannheim-Department of Systems Engineering and Computer Sciences-Outgoing,2018,Second Semester 2018,3,"3,00",Academic period,Stay opportunity,Outgoing,Active,,Undergraduate / Bachelor,Systems and Computing Engineering Bsc,535,3,Universität Mannheim
Exchange Student Undergraduate-Universität Mannheim-Department of Systems Engineering and Computer Sciences-Outgoing,2019,First Semester 2019,2,"2,00",Academic period,Stay opportunity,Outgoing,Active,,Undergraduate / Bachelor,Systems and Computing Engineering Bsc,535,1,Universität Mannheim
Exchange Student Undergraduate-Universität Mannheim-School of Management-Outgoing,2018,Second Semester 2018,2,"2,00",Academic period,Stay opportunity,Outgoing,Active,,Undergraduate / Bachelor,Administration Bsc,538,0,Universität Mannheim
Exchange Student Undergraduate-Universität Mannheim-School of Management-Outgoing,2019,First Semester 2019,2,"2,00",Academic period,Stay opportunity,Outgoing,Active,,Undergraduate / Bachelor,Administration Bsc,538,0,Universität Mannheim
Exchange Student Undergraduate-Universität Mannheim-School of Economics-Outgoing,2018,Second Semester 2018,4,"4,00",Academic period,Stay opportunity,Outgoing,Active,,Undergraduate / Bachelor,Economics Bsc,1016,2,Universität Mannheim
Exchange Student Undergraduate-Universität Mannheim-School of Economics-Outgoing,2019,First Semester 2019,4,"4,00",Academic period,Stay opportunity,Outgoing,Active,,Undergraduate / Bachelor,Economics Bsc,1016,0,Universität Mannheim
Exchange Student Undergraduate-Universität Mannheim-School of Law-Outgoing,2018,Second Semester 2018,1,"1,00",Academic period,Stay opportunity,Outgoing,Active,,Undergraduate / Bachelor,Law Bsc,544,0,Universität Mannheim
Exchange Student Undergraduate-Universität Mannheim-School of Social Sciences-Outgoing,2019,First Semester 2019,4,"4,00",Academic period,Stay opportunity,Outgoing,Active,,Undergraduate / Bachelor,Anthropology Bsc|| History Bsc|| Languages and Culture Bsc|| Philosophy Bsc|| Political Science Bsc|| Psychology Bsc|| Global Studies Bsc,541,3,Universität Mannheim
Exchange Student-American University - Washington College of Law-School of Law-Outgoing,2018,Second Semester 2018,1,"1,00",Academic period,Stay opportunity,Outgoing,Silent,,Undergraduate / Bachelor,Law Bsc,7,0,"American University, American University - Washington College of Law"
Study Abroad-American University WSP-Universidad de los Andes-Outgoing,2018,Second Semester 2018,2,"2,00",Academic period,Stay opportunity,Outgoing,Silent,,Undergraduate / Bachelor,Anthropology Bsc|| Art History Bsc|| Arts Bsc|| Biology Bsc|| Chemical Engineering Bsc|| Environmental Engineering Bsc|| Government and Public Policy Bsc|| History Bsc|| Literature Bsc|| Languages and Culture Bsc|| Mathematics Bsc|| Music Bsc|| Philosophy Bsc|| Physics Bsc|| Political Science Bsc|| Psychology Bsc|| Economics Bsc|| Law Bsc,3,2,"American University, American University - Washington College of Law, American University - Washington Semester"
