Name;URL
 ALISYS DIGITAL COLOMBIA SAS;
 Πανεπιστήμιο Κύπρου;http://www.ucy.ac.cy
[no longer existing] Aalto-yliopisto;
[No longer existing] Ecole Normale Supérieure de Lyon;http://www.ens-lyon.fr
[No longer existing] Rouen Business School;http://www.rouenbs.fr
[no longer existing] Tampereen Teknillinen Yliopisto;http://www.tut.fi
[no longer existing] Université Côte d’Azur;http://univ-cotedazur.fr/fr
[No longer existing] Université Paris Descartes;http://www.parisdescartes.fr/
Aalborg Universitet;http://www.aau.dk
Aarhus Universitet;http://www.au.dk
Abdullah Gül University;http://www.agu.edu.tr/
Aberystwyth University;http://www.aber.ac.uk
Academia Tehnica Militara din Bucuresti;http://www.mta.ro
Académie de la Guyane;http://www.ac-guyane.fr/
Accademia Musicale Il Seminario;http://www.accademiailseminario.it/
ADAM Audio GmbH;
Aeronaútica Civil de Colombia;
AES International Education;https://www.aescolombia.org/
Agencia Mexicana de Cooperación Internacional para el Desarrollo;https://www.gob.mx/amexcid
Agencia Nacional de Minería;https://www.anm.gov.co
Agencia Nacional de Seguridad Vial;https://ansv.gov.co/
Agencia para la Reincorporación y la Normalización;
Agencia Presidencial de Cooperación;https://www.apccolombia.gov.co/
AGREENIUM;https://es.agreenium.fr/page/inicio
Ain Shams University;http://www.shams.edu.eg/
Aix-Marseille Université;http://www.univ-amu.fr/
Ajou University;http://www.ajou.ac.kr
Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie;http://www.agh.edu.pl
Akademia Leona Koźmińskiego;http://www.kozminski.edu.pl
Akademie Múzických Umění v Praze;http://www.amu.cz
Al-Farabi Kazakh National University;http://www.kazsu.kz
Al-Quds University;http://www.alquds.edu/
Albert-Ludwigs-Universität Freiburg im Breisgau;http://www.uni-freiburg.de
Alcaldía de Síbate;
Alexander von Humboldt Foundation;http://www.humboldt-foundation.de/web/home.html
Alexandria University;http://www.alex.edu.eg/
Alianza Francesa;https://alianzafrancesa.org.co/bogota/
Alpen-Adria-Universität Klagenfurt;http://www.uni-klu.ac.at
Altinbas University;http://www.kemerburgaz.edu.tr/en
American Bar Association;https://www.americanbar.org/about_the_aba/
American Museum of Natural History;
American University;http://www.american.edu/
American University - Washington College of Law;
American University - Washington Semester;http://www.american.edu/spexs/washingtonsemester/
American University in Bulgaria;http://www.aubg.bg/
American University in Cairo;http://www.aucegypt.edu/
American University of Afghanistan (AUAf);http://www.auaf.edu.af/
American University of Beirut;http://www.aub.edu.lb
American University of Central Asia;http://www.auca.edu.kg/
American University of Paris;http://www.aup.edu/
American University of Sharjah;http://www.aus.edu
Amherst College;https://www.amherst.edu/
Amirkabir University of Technology;http://www.aut.ac.ir/
Amity University;http://www.amity.edu/
AMOpportunities creates inc.;
ANDI National Business Association of Colombia;http://www.andi.com.co
Anglia Ruskin University;http://www.anglia.ac.uk
Año Colombia Francia;http://www.colombiafrancia2017.com/
APOYOnline: Association for Heritage Preservation of the Americas;http://apoyonline.org/
Applied Science Private University;http://www.asu.edu.jo/en/Pages/default.aspx
Architectural Association School of Architecture;
Archivo General de la Nación;
Areavisual S.A.S;
Arizona State University;http://www.asu.edu/
Armada Nacional;
Armstrong Atlantic State University;http://www.armstrong.edu
Arquidiócesis de Bogotá;https://arquibogota.org.co/
Arts et Métiers ParisTech;http://www.ensam.eu/
Ashesi University;http://www.ashesi.org/
Asia-Iberoamerica Cultural Foundation ;http://www.asiaiberoamerica.org/index.html
Asia-Pacific Association for International Education;https://www.apaie2019.org/
Asociación Aconiño;https://aconino.org/
Asociación Colombiana de Empresas de Medicina Integral;
Asociación Colombiana de Legal Tech ACLET;
Asociación Colombiana de Minería;https://acmineria.com.co/
Asociación Colombo-Francesa de Investigadores;https://www.colifri.com/
Asociación de Estudios Coreanos en Colombia;https://estudioscoreanosencolombia.org/inicio
Asociación de Rectores del Caribe y las Américas;https://arca-rectores.com/
Asociación Gremial Colombiana para la Experiencia del Cliente;https://acxc.com.co/quienes-somos/
Asociación Latinoamericana de Investigaciones en Campañas Electorales;https://www.alice-comunicacionpolitica.com/
Aspen Network of Development Entrepreneurs (ANDE);
Associação Escola da Cidade;http://www.escoladacidade.org/
Association of International Education Administrators;https://www.aieaworld.org/
Association of Norwegian Students Abroad;http://www.ansa.no/
Aston University;http://www.aston.ac.uk
Athens University of Economics and Business;http://www.aueb.gr/
Atlantis University;https://www.atlantisuniversity.edu
Auburn University;http://www.auburn.edu
Auckland Tourism, Events and Economic Development;https://www.aucklandnz.com/about-ateed/about-us/who-we-are
Auckland University of Technology;http://www.aut.ac.nz
Audencia Business School;http://www.audencia.com
Australian Conservation Foundation;
Australian National University;http://www.anu.edu.au
AVOFRUIT S.A.S. BIC;
Babson College;http://www.babson.edu/
Baden Wurttemberg International;https://www.bw-i.de/startseite.html
Bahauddin Zakariya University;http://www.bzu.edu.pk/
Banaras Hindu University;http://www.bhu.ac.in/
