Start period,Rank,Relation: ID,Stay opportunity,Status selection,Stay: ID,Institution,Stay: GPA outgoing
First Semester 2020,2,2053,"Internship - University of California, Santa Cruz - School of Architecture and Design - Outgoing",Cancelled,11199,"University of California, Santa Cruz",
First Semester 2020,2,2053,"Internship - University of California, Santa Cruz - School of Architecture and Design - Outgoing",Cancelled,11204,"University of California, Santa Cruz",
First Semester 2020,2,2053,"Internship - University of California, Santa Cruz - School of Architecture and Design - Outgoing",Rejected,11207,"University of California, Santa Cruz",
First Semester 2020,2,2053,"Internship - University of California, Santa Cruz - School of Architecture and Design - Outgoing",Cancelled,11209,"University of California, Santa Cruz",
First Semester 2020,2,2053,"Internship - University of California, Santa Cruz - School of Architecture and Design - Outgoing",Rejected,11210,"University of California, Santa Cruz",
First Semester 2020,2,2053,"Internship - University of California, Santa Cruz - School of Architecture and Design - Outgoing",Cancelled,11214,"University of California, Santa Cruz",
First Semester 2020,2,2053,"Internship - University of California, Santa Cruz - School of Architecture and Design - Outgoing",Cancelled,11217,"University of California, Santa Cruz",
First Semester 2020,1,,,Pending,20003,,
First Semester 2020,1,,,Pending,20007,,
First Semester 2020,1,,,Pending,20010,,
First Semester 2020,1,,,Pending,20014,,
First Semester 2020,1,,,Pending,20019,,
First Semester 2020,1,,,Pending,20021,,
First Semester 2020,1,,,Pending,20023,,
First Semester 2020,1,,,Pending,20025,,
First Semester 2020,1,,,Pending,20027,,
First Semester 2020,1,,,Pending,20028,,
Second Semester 2020,1,429,Exchange Student-University of New South Wales-School of Law-Outgoing,Selected,14339,University of New South Wales,"4,26"
Second Semester 2021,1,733,Exchange Student-National Chengchi University-College of Commerce-School of Management-Outgoing,Selected,11639,National Chengchi University,"3,94"
Second Semester 2020,2,149,Exchange Student-Nova School of Business and Economics-School of Management-Outgoing,Rejected,11639,Universidade Nova de Lisboa,"3,94"
Second Semester 2020,3,981,Exchange Student-Maastricht University-School of Business and Economics-School of Management-Outgoing,Rejected,11639,Maastricht University,"3,94"
Second Semester 2019,1,926,Study Abroad-Universidad Carlos III de Madrid-Universidad de los Andes-Outgoing,Pending,7617,Universidad Carlos III de Madrid,"4,00"
Second Semester 2020,1,1305,Exchange Student-Università Commerciale 'Luigi Bocconi' di Milano-School of Management-Outgoing,Rejected,11704,Università Commerciale 'Luigi Bocconi' di Milano,"4,01"
Second Semester 2020,2,538,Exchange Student-Universität Mannheim-School of Management-Outgoing,Selected,11704,Universität Mannheim,"4,01"
Second Semester 2020,3,1062,Exchange Student-Fundación ESADE-Universidad Ramón Llull-School of Management-Outgoing,Rejected,11704,Universitat Ramon Llull,"4,01"
Second Semester 2019,1,596,Exchange Student-Université Toulouse 1 Capitole-School of Economics-Outgoing,Rejected,7749,Université Toulouse 1 Capitole,"4,15"
Second Semester 2019,2,371,Exchange Student-Université de Strasbourg-School of Economics-Outgoing,Selected,7749,Université de Strasbourg,"4,15"
Second Semester 2019,3,862,Exchange Student Undergraduate-Université Jean Moulin Lyon 3-Universidad de los Andes-Outgoing,Rejected,7749,Université Jean Moulin Lyon 3,"4,15"
First Semester 2019,1,981,Exchange Student-Maastricht University-School of Business and Economics-School of Management-Outgoing,Selected,3450,Maastricht University,"4,20"
Inter-semester 2020,1,2468,SURF-Pontificia Universidade Católica do Rio Grande do Sul (PUCRS)-Universidad de los Andes-Outgoing,Selected,12543,Pontificia Universidade Católica do Rio Grande do Sul (PUCRS),"3,58"
Inter-semester 2020,2,2468,SURF-Pontificia Universidade Católica do Rio Grande do Sul (PUCRS)-Universidad de los Andes-Outgoing,Rejected,12543,Pontificia Universidade Católica do Rio Grande do Sul (PUCRS),"3,58"
First Semester 2020,1,908,Exchange Student-Universitat Politècnica de Catalunya-(EEBE)-School of Engineering-Outgoing,Selected,8505,Universitat Politècnica de Catalunya,"4,58"
First Semester 2020,2,1004,SMILE Exchange-Universidad Politécnica de Madrid-ETSII-Industrial Egineering-Chemical Engineering-Outgoing,Rejected,8505,Universidad Politécnica de Madrid,"4,58"
First Semester 2020,3,159,Exchange Student-Politecnico di Milano-School of Engineering-Outgoing,Rejected,8505,Politecnico di Milano,"4,58"
First Semester 2022,1,342,Exchange Student-Universitat Politècnica de València-School of Engineering-Outgoing,Rejected,16351,Universitat Politècnica de València,"4,19"
