Name,Degree type,Name in Foreign Languages
Administration Bsc,Bachelor,Administración
Anthropology Bsc,Bachelor,Antropología
Anthropology Minor,Minor,Opción en Antropología
Architecture Bsc,Bachelor,Arquitectura
Art History Bsc,Bachelor,Historia del Arte
Art History Minor,Minor,Opción en Historia del Arte
Arts Bsc,Bachelor,Arte
Arts Minor,Minor,Opción en Arte
Asian Studies Minor,Minor,Opción en Estudios Asiáticos 
Astronomy Minor,Minor,Opción en Astronomía
Biodiversity Minor,Minor,Opción en Biodiversidad
Bioinformatics Minor,Minor,Opción en Bioinformática
Biological Sciences Msc,Master,Maestría en Ciencias Biológicas
Biology Bsc,Bachelor,Biología
Biology Minor,Minor,Opción en Biología
Biomedical Engineering Bsc,Bachelor,Ingeniería Biomédica
Blues and Rock Minor,Minor,Opción en Blues y Rock
Business Law Minor,Minor,Opción en Derecho de los Negocios
Ceramics Minor,Minor,Opción en Cerámica
Chemical Engineering Bsc,Bachelor,Ingeniería Química
Chemistry Bsc,Bachelor,Química
Chemistry Minor,Minor,Opción en Química
Chinese Language and Culture Minor,Minor,Opción en Lengua y Cultura China
Choral Minor,Minor,Opción en Coro
"Cinema, Video and Animation Minor",Minor,"Opción en Cine, video y animación"
Civil Engineering Bsc,Bachelor,Ingeniería Civil
Classical Studies Minor,Minor,Opción en Estudios Clásicos
Computational Mathematics Minor,Minor,Opción en Matemáticas Computacionales
Continuing Education,Continuing Education,Educación Continuada
Creative Writing Minor,Minor,Opción en Creación Literaria
Cultural Projects Minor,Minor,Opción en Proyectos Culturales
Cultural Studies Minor,Minor,Opción en Estudios Culturales
Design Bsc,Bachelor,Diseño
Design Minor,Minor,Opción en Diseño
Digital Narrative Bsc,Bachelor,Narrativas Digitales
Doctoral Program in Administration,Doctorate,Doctorado en Administración
Doctoral Program in Anthropology,Doctorate,Doctorado en Antropología
Doctoral Program in Economics,Doctorate,Doctorado en Economía
Doctoral Program in Education,Doctorate,Doctorado en Educación
Doctoral Program in Engineering,Doctorate, Doctorado en Ingeniería
Doctoral Program in History,Doctorate,Doctorado en Historia
Doctoral Program in Law,Doctorate,Doctorado en Derecho
Doctoral Program in Literature,Doctorate,Doctorado en Literatura
Doctoral Program in Mathematics,Doctorate,Doctorado en Matemáticas
Doctoral Program in Philosophy,Doctorate,Doctorado en Filosofía
Doctoral Program in Political Sciences,Doctorate,Doctorado en Ciencia Política
Doctoral Program in Psychology,Doctorate,Doctorado en Psicología
Doctoral Program in Science - Biology,Doctorate,Doctorado en Ciencias - Biología
Doctoral Program in Science - Chemistry,Doctorate,Doctorado en Ciencias - Química
Doctoral Program in Science - Physics,Doctorate,Doctorado en Física
Doctoral Program in Technology Innovation Management,Doctorate,Doctorado en Gestión de la Innovación Tecnológica
Economics Bsc,Bachelor,Economía
Economics Minor,Minor,Opción en Economía
Economy (Program for non economists),Specialization,
Editing Writing Minor,Minor,Opción en Edición
Education Bsc / Arts,Bachelor,Licenciatura en Arte
Education Bsc / Biology,Bachelor,Licenciatura en Biología
Education Bsc / Early Childhood,Bachelor,Licenciatura en Educación Infantil 
Education Bsc / History,Bachelor,Licenciatura en Historia
Education Bsc / Humanities,Bachelor,Licenciatura en Humanidades
Education Bsc / Mathematics,Bachelor,Licenciatura en Matemáticas
Education Bsc / Philosophy,Bachelor,LICENCIATURA EN FILOSOFÍA
Education Bsc / Spanish and Philology,Bachelor,LICENCIATURA EN ESPAÑOL Y FILOLOGÍA
Education Minor,Minor,Opción en Educación
Electrical Engineering Bsc,Bachelor,Ingeniería Eléctrica
Electronic Engineering Bsc,Bachelor,Ingeniería Electrónica
English Language and Culture Minor,Minor,Opción en Lengua y Cultura Inglesa
Entrepreneurship Minor,Minor,Opción en Emprendimiento
Environmental Engineering Bsc,Bachelor,Ingeniería Ambiental
Executive MBA,Master,MBA Ejecutivo
Food Engineering,Bachelor,Ingeniería de alimentos
French Language and Culture Minor,Minor,Opción en Lengua y Cultura Francesa
Full - Time MBA,Master,MBA Tiempo Completo
Gender and Sexuality Minor,Minor,Opción en Género y Sexualidad
Geography Minor,Minor,Opción en Geografía
Geosciences Bsc,Bachelor,Geociencias
German Language and Culture Minor,Minor,Opción en Lengua y Cultura Alemana
Global MBA,Master,Global MBA
Global Public Affairs Minor,Minor,Opción en Asuntos Públicos Globales
Global Studies Bsc,Bachelor,Estudios Globales
Government and Public Policy Bsc,Bachelor,Gobierno y Políticas Públicas
Government Minor,Minor,Opción en Gobierno
Graph Minor,Minor,Opción en Gráfica
History and Economics Minor,Minor,Opción en Historia y Economía
History Bsc,Bachelor,Historia
History Minor,Minor,Opción en Historia
Industrial Engineering Bsc,Bachelor,Ingeniería Industrial
Information Security,Specialization,
Information Systems in the Organization,Specialization,
Innovation Minor,Minor,Opción en Innovación
Intellectual Property and Entertainment Law Minor,Minor,Opción en Derecho de la Propiedad Intelectual y del Entretenimiento
International Accounting Bsc,Bachelor,Contaduría Internacional
International master in Finance,Master,Maestría internacional en Finanzas
International Studies Minor,Minor,Opción en Estudios Internacionales
Italian Language and Culture Minor,Minor,Opción en Lengua y Cultura Italiana
Japanese Language and Culture Minor,Minor,Opción en Lengua y Cultura Japonesa
Jazz Practice Minor,Minor,Opción en Práctica del Jazz
Journalism Minor,Minor,Opción en Periodismo
Languages and Culture Bsc,Bachelor,Lenguas y Cultura
Law Bsc,Bachelor,Derecho
Literature Bsc,Bachelor,Literatura
Management Minor,Minor,Opción en Gestión
Management of arts and culture Minor,Minor,Opción en Gestión de las Artes y la Cultura
Master in Analytical Intelligence for Decision Making,Master,Maestría en Inteligencia Analítica para la Toma de Decisiones
Master in Anthropology,Master,Maestría en Antropología
Master in Applied Economics,Master,Maestría en Economía Aplicada
Master in Architecture,Master,Maestría en Arquitectura
Master in Architectures of Information Technology,Master,Maestría en Arquitecturas de Tecnologías de Información
Master in Art History,Master,Maestría en Historia del Arte
Master in Biological Sciences,Master,Maestría en Ciencias Biológicas
Master in Biomedical Engineering,Master,Maestría en Ingeniería Biomédica
