Name,Direction,Level,Degree programme,External institutions,Internal institutions,Internal institution short name,Active
 SUI IURIS-Universidad Nacional Mayor de San Marcos-Universidad de los Andes-Outgoing,Outgoing,Undergraduate / Bachelor,Law Bsc,Universidad Nacional Mayor de San Marcos,"School of Law, Universidad de Los Andes",,Yes
 SUI IURIS-Universidade de Brasilia-Universidad de los Andes-Outgoing,Outgoing,Undergraduate / Bachelor,Law Bsc,Universidade de Brasilia (UnB),"School of Law, Universidad de Los Andes",,Yes
 SUI IURIS-Universitat Pompeu Fabra-Universidad de los Andes-Outgoing,Outgoing,Undergraduate / Bachelor,Law Bsc,Universitat Pompeu Fabra,"School of Law, Universidad de Los Andes",,Yes
Alianza del Pacífico - Universidad de los Andes - Incoming,Incoming,Undergraduate / Bachelor,Anthropology Bsc|| Architecture Bsc|| Art History Bsc|| Arts Bsc|| Biology Bsc|| Microbiology Bsc|| Biomedical Engineering Bsc|| Chemical Engineering Bsc|| Chemistry Bsc|| Civil Engineering Bsc|| Environmental Engineering Bsc|| Design Bsc|| Electrical Engineering Bsc|| Electronic Engineering Bsc|| Geosciences Bsc|| Government and Public Policy Bsc|| History Bsc|| Literature Bsc|| Industrial Engineering Bsc|| Languages and Culture Bsc|| Mathematics Bsc|| Mechanical Engineering Bsc|| Music Bsc|| Philosophy Bsc|| Physics Bsc|| Political Science Bsc|| Psychology Bsc|| Economics Bsc|| Education Bsc / Arts|| Education Bsc / Early Childhood|| Education Bsc / Humanities|| Education Bsc / Mathematics|| Education Bsc / Biology|| Education Bsc / History|| Law Bsc|| Administration Bsc|| International Accounting Bsc|| Medicine|| Systems and Computing Engineering Bsc,"Instituto Tecnológico de Aguascalientes, Instituto Tecnológico de Cuautla, Instituto Tecnológico de Saltillo, Universidad Andina del Cusco, Universidad Continental, Universidad de Guadalajara, Universidad de Lima, Universidad de Monterrey, Universidad de Talca, Universidad de Tarapacá, Universidad Politécnica de Tlaxcala","Anthropology Department, Architecture Department, Art Department, Art History Department, Biological Sciences Department, Biomedical Engineering Department, CEDE, Center for Journalism Studies, Centro de Estudios sobre Seguridad y Drogas - CESED, Chemical Engineering Department, Chemistry Department, Civil and Environmental Engineering Department, CODS - Centro de Desarrollo Sostenible para América Latina, Design Department, Electrical and Electronic Engineering Department, Geosciences Department, Government School Alberto Lleras Camargo, History Department, Humanities and Literature Department, Industrial Engineering Department, Interdisciplinary Center for Studies of Development (CIDER), International Studies Center, Languages and Culture Department, Mathematics Department, Mechanical Engineering Department, Music Department, Philosophy Department, Physics Department, Political Sciences Department, Psychology Department, School of Architecture and Design, School of Arts and Humanities, School of Economics, School of Education, School of Engineering, School of Law, School of Management, School of Medicine, School of Sciences, School of Social Sciences, Systems Engineering and Computing Sciences Department, Universidad de Los Andes","IBIO, CEDE, CEPER, CESED, IQUIM, ICYA, CODS, IELE, , IIND, CIDER, CEI, IMEC, ISIS",Yes
APRU-VMP-Universidad de los Andes-Incoming,Incoming,Undergraduate / Bachelor,Anthropology Bsc|| Architecture Bsc|| Art History Bsc|| Arts Bsc|| Biology Bsc|| Microbiology Bsc|| Biomedical Engineering Bsc|| Chemical Engineering Bsc|| Chemistry Bsc|| Civil Engineering Bsc|| Environmental Engineering Bsc|| Design Bsc|| Electrical Engineering Bsc|| Electronic Engineering Bsc|| Geosciences Bsc|| Government and Public Policy Bsc|| History Bsc|| Literature Bsc|| Industrial Engineering Bsc|| Languages and Culture Bsc|| Mathematics Bsc|| Mechanical Engineering Bsc|| Music Bsc|| Philosophy Bsc|| Physics Bsc|| Political Science Bsc|| Psychology Bsc|| Economics Bsc|| Education Bsc / Arts|| Education Bsc / Early Childhood|| Education Bsc / Humanities|| Education Bsc / Mathematics|| Education Bsc / Biology|| Education Bsc / History|| Law Bsc|| Administration Bsc|| International Accounting Bsc|| Medicine|| Systems and Computing Engineering Bsc|| Digital Narrative Bsc|| Other Bsc|| Food Engineering|| Education Bsc / Spanish and Philology|| Education Bsc / Philosophy,"Australian National University, California Institute of Technology, Chulalongkorn University, Far Eastern Federal University, Fudan University, Harbin Institute of Technology, Instituto Tecnológico y de Estudios Superiores de Monterrey (ITESM), Instituto Tecnológico y de Estudios Superiores de Monterrey, Campus Guadalajara, Keio University, Keio University - Keio Business School, Korea Advanced Institute of Science and Technology, Korea University, Kyushu University, Monash University, Nagoya University, Nanjing University, Nanyang Technological University, National Taiwan University, National Tsing Hua University, National University of Singapore, Osaka University, Peking University, Pohang University of Science and Technology, Seoul National University, Shanghai Jiao Tong University, Simon Fraser University, Sun Yat-Sen University, The Chinese University of Hong Kong, Shenzhen, The Hong Kong University of Science and Technology, The University of Auckland, The University of Hong Kong, The University of Queensland, Tohoku University, Tongji University, Tsinghua University, Universidad de Chile, Universidad San Francisco de Quito, Universitas Indonesia, Universiti Malaya (UM), University of California Berkeley - Haas School of Business, University of California San Diego, University of California, Berkeley, University of California, Davis, University of California, Los Angeles, University of California, Riverside, University of California, Santa Barbara, University of California, Santa Cruz, University of Chinese Academy of Sciences, University of Hawaii at Manoa, University of Melbourne, University of New South Wales, University of Oregon, University of Science and Technology of China (USTC), University of Southern California, University of Sydney, University of the Philippines Manila, University of Washington, Waseda University, Xi'an Jiaotong University, Yonsei University, Zhejiang University","Anthropology Department, Architecture Department, Art Department, Art History Department, Biological Sciences Department, Biomedical Engineering Department, Campus Management, Careers Center, CEDE, Center for Journalism Studies, Center for Orinoquia Studies, Centro de Estudios sobre Seguridad y Drogas - CESED, Chemical Engineering Department, Chemistry Department, Civil and Environmental Engineering Department, CODS - Centro de Desarrollo Sostenible para América Latina, Conecta-TE, Confucius Institute, Continuing Education Direction, CSC - Shared Service Center, Cultural Center, Dean of Students Office, Design Department, Direction of Admissions and Registration, Direction of Information and Technology Services, Electrical and Electronic Engineering Department, Ethics Center, Finance Direction, Fondo de Profesores y Empleados de la Universidad de los Andes, General Secretary, Geosciences Department, Government School Alberto Lleras Camargo, History Department, Human Resources, Humanities and Literature Department, Industrial Engineering Department, Iniciativa de Sistemas Agroalimentarios, Interdisciplinary Center for Studies of Development (CIDER), Internal Audit, International Studies Center, Japan Center, Languages and Culture Department, Legal Affairs Direction, Library System, Mathematics Department, Mechanical Engineering Department, Music Department, Office of International Affairs, Philosophy Department, Physics Department, Planning Direction, Political Sciences Department, Psychology Department, School of Architecture and Design, School of Arts and Humanities, School of Economics, School of Education, School of Engineering, School of Law, School of Management, School of Management - Executive Education, School of Management - International Affairs, School of Medicine, School of Sciences, School of Social Sciences, Spanish Language Center, Systems Engineering and Computing Sciences Department, UNIANDES - Administrative Units, Universidad de Los Andes, Vice Presidency for Academic Affairs, Vice Presidency for Administration and Finance, Vice Presidency for Development and Alumni, Vice Presidency of Research and Creation","IBIO, CTP, CEDE, CEPER, CEO, CESED, IQUIM, ICYA, CODS, EDCO, CSC, DECA, DSIT, IELE, , GHDO, IIND, CIDER, CEI, IMEC, ISIS",Yes
APRU-VMP-Universidad de los Andes-Outgoing,Outgoing,Undergraduate / Bachelor,Anthropology Bsc|| Architecture Bsc|| Art History Bsc|| Arts Bsc|| Biology Bsc|| Microbiology Bsc|| Biomedical Engineering Bsc|| Chemical Engineering Bsc|| Chemistry Bsc|| Civil Engineering Bsc|| Environmental Engineering Bsc|| Design Bsc|| Electrical Engineering Bsc|| Electronic Engineering Bsc|| Geosciences Bsc|| Government and Public Policy Bsc|| History Bsc|| Literature Bsc|| Industrial Engineering Bsc|| Languages and Culture Bsc|| Mathematics Bsc|| Mechanical Engineering Bsc|| Music Bsc|| Philosophy Bsc|| Physics Bsc|| Political Science Bsc|| Psychology Bsc|| Economics Bsc|| Education Bsc / Arts|| Education Bsc / Early Childhood|| Education Bsc / Humanities|| Education Bsc / Mathematics|| Education Bsc / Biology|| Education Bsc / History|| Law Bsc|| Administration Bsc|| International Accounting Bsc|| Medicine|| Systems and Computing Engineering Bsc|| Digital Narrative Bsc|| Other Bsc|| Food Engineering|| Education Bsc / Spanish and Philology|| Education Bsc / Philosophy,"Australian National University, California Institute of Technology, Chulalongkorn University, Far Eastern Federal University, Fudan University, Harbin Institute of Technology, Instituto Tecnológico y de Estudios Superiores de Monterrey (ITESM), Instituto Tecnológico y de Estudios Superiores de Monterrey, Campus Guadalajara, Keio University, Keio University - Keio Business School, Korea Advanced Institute of Science and Technology, Korea University, Kyushu University, Monash University, Nagoya University, Nanjing University, Nanyang Technological University, National Taiwan University, National Tsing Hua University, National University of Singapore, Osaka University, Peking University, Pohang University of Science and Technology, Seoul National University, Shanghai Jiao Tong University, Simon Fraser University, Sun Yat-Sen University, The Chinese University of Hong Kong, Shenzhen, The Hong Kong University of Science and Technology, The University of Auckland, The University of Hong Kong, The University of Queensland, Tohoku University, Tongji University, Tsinghua University, Universidad de Chile, Universidad San Francisco de Quito, Universitas Indonesia, Universiti Malaya (UM), University of California Berkeley - Haas School of Business, University of California San Diego, University of California, Berkeley, University of California, Davis, University of California, Los Angeles, University of California, Riverside, University of California, Santa Barbara, University of California, Santa Cruz, University of Chinese Academy of Sciences, University of Hawaii at Manoa, University of Melbourne, University of New South Wales, University of Oregon, University of Science and Technology of China (USTC), University of Southern California, University of Sydney, University of the Philippines Manila, University of Washington, Waseda University, Xi'an Jiaotong University, Yonsei University, Zhejiang University","Anthropology Department, Architecture Department, Art Department, Art History Department, Biological Sciences Department, Biomedical Engineering Department, Campus Management, Careers Center, CEDE, Center for Journalism Studies, Center for Orinoquia Studies, Centro de Estudios sobre Seguridad y Drogas - CESED, Chemical Engineering Department, Chemistry Department, Civil and Environmental Engineering Department, CODS - Centro de Desarrollo Sostenible para América Latina, Conecta-TE, Confucius Institute, Continuing Education Direction, CSC - Shared Service Center, Cultural Center, Dean of Students Office, Design Department, Direction of Admissions and Registration, Direction of Information and Technology Services, Electrical and Electronic Engineering Department, Ethics Center, Finance Direction, Fondo de Profesores y Empleados de la Universidad de los Andes, General Secretary, Geosciences Department, Government School Alberto Lleras Camargo, History Department, Human Resources, Humanities and Literature Department, Industrial Engineering Department, Iniciativa de Sistemas Agroalimentarios, Interdisciplinary Center for Studies of Development (CIDER), Internal Audit, International Studies Center, Japan Center, Languages and Culture Department, Legal Affairs Direction, Library System, Mathematics Department, Mechanical Engineering Department, Music Department, Office of International Affairs, Philosophy Department, Physics Department, Planning Direction, Political Sciences Department, Psychology Department, School of Architecture and Design, School of Arts and Humanities, School of Economics, School of Education, School of Engineering, School of Law, School of Management, School of Management - Executive Education, School of Management - International Affairs, School of Medicine, School of Sciences, School of Social Sciences, Spanish Language Center, Systems Engineering and Computing Sciences Department, UNIANDES - Administrative Units, Universidad de Los Andes, Vice Presidency for Academic Affairs, Vice Presidency for Administration and Finance, Vice Presidency for Development and Alumni, Vice Presidency of Research and Creation","IBIO, CTP, CEDE, CEPER, CEO, CESED, IQUIM, ICYA, CODS, EDCO, CSC, DECA, DSIT, IELE, , GHDO, IIND, CIDER, CEI, IMEC, ISIS",Yes
APRU-VMPM-Universidad de los Andes-Incoming,Incoming,Postgraduate / Master,"Executive MBA|| Full - Time MBA|| Global MBA|| Master in Analytical Intelligence for Decision Making|| Master in Anthropology|| Master in Applied Economics|| Master in Architecture|| Master in Architectures of Information Technology|| Master in Biomedical Engineering|| Master in Business Information Technology|| Master in Chemical Engineering|| Master in Chemistry|| Master in Civil Engineering|| Master in Clinical and Health Psychology|| Master in Computational Biology|| Master in Computing and Systems Engineering|| Master in Cultural Studies|| Master in Design|| Master in Development Management and Practice|| Master in Economics|| Master in Education|| Master in Electrical Engineering|| Master in Electronic and Computer Engineering|| Master in Environmental Engineering|| Master in Environmental Management|| Master in Finance|| Master in Gender|| Master in Geography|| Master in History|| Master in Industrial Engineering|| Master in Information Security|| Master in Intellectual Property|| Master in Interdisciplinary Studies on Development|| Master in International Law|| Master in International Studies|| Master in Journalism|| Master in Law|| Master in Law, Government and Justice Management|| Master in Literature|| Master in Marketing|| Master in Mathematics|| Master in Mathematics Education|| Master in Mechanical Engineering|| Master in Petroleum Engineering|| Master in Philosophy|| Master in Physics|| Master in Political Science|| Master in Private Law|| Master in Processes and Products Design|| Master in Psychology|| Master in Public Health|| Master in Public Law for administrative management|| Master in Public Policy|| Master in Research in Management|| Master in Software Engineering|| Master in Taxatation|| Master in Teaching of Foreign Languages|| Master in Urban and Regional Planning|| Part - Time MBA|| Biological Sciences Msc|| Master in Digital Humanities|| Master in Peace Building|| Master in Public Management|| Master in Regulation|| Master in Art History|| Master in Fine Arts|| Master in Movable Cultural Heritage|| Master in Music|| Master in Supply Chain Management|| International master in Finance|| Master in Technology Innovation Management|| Other Master Program|| Master in Epidemiology|| Master in Information Engineering|| Master in Biological Sciences","Australian National University, California Institute of Technology, Chulalongkorn University, Far Eastern Federal University, Fudan University, Harbin Institute of Technology, Instituto Tecnológico y de Estudios Superiores de Monterrey (ITESM), Instituto Tecnológico y de Estudios Superiores de Monterrey, Campus Guadalajara, Keio University, Keio University - Keio Business School, Korea Advanced Institute of Science and Technology, Korea University, Kyushu University, Monash University, Nagoya University, Nanjing University, Nanyang Technological University, National Taiwan University, National Tsing Hua University, National University of Singapore, Osaka University, Peking University, Pohang University of Science and Technology, Seoul National University, Shanghai Jiao Tong University, Simon Fraser University, Sun Yat-Sen University, The Chinese University of Hong Kong, Shenzhen, The Hong Kong University of Science and Technology, The University of Auckland, The University of Hong Kong, The University of Queensland, Tohoku University, Tongji University, Tsinghua University, Universidad de Chile, Universidad San Francisco de Quito, Universitas Indonesia, Universiti Malaya (UM), University of California Berkeley - Haas School of Business, University of California San Diego, University of California, Berkeley, University of California, Davis, University of California, Los Angeles, University of California, Riverside, University of California, Santa Barbara, University of California, Santa Cruz, University of Chinese Academy of Sciences, University of Hawaii at Manoa, University of Melbourne, University of New South Wales, University of Oregon, University of Science and Technology of China (USTC), University of Southern California, University of Sydney, University of the Philippines Manila, University of Washington, Waseda University, Xi'an Jiaotong University, Yonsei University, Zhejiang University","Anthropology Department, Architecture Department, Art Department, Art History Department, Biological Sciences Department, Biomedical Engineering Department, Campus Management, Careers Center, CEDE, Center for Journalism Studies, Center for Orinoquia Studies, Centro de Estudios sobre Seguridad y Drogas - CESED, Chemical Engineering Department, Chemistry Department, Civil and Environmental Engineering Department, CODS - Centro de Desarrollo Sostenible para América Latina, Conecta-TE, Confucius Institute, Continuing Education Direction, CSC - Shared Service Center, Cultural Center, Dean of Students Office, Design Department, Direction of Admissions and Registration, Direction of Information and Technology Services, Electrical and Electronic Engineering Department, Ethics Center, Finance Direction, Fondo de Profesores y Empleados de la Universidad de los Andes, General Secretary, Geosciences Department, Government School Alberto Lleras Camargo, History Department, Human Resources, Humanities and Literature Department, Industrial Engineering Department, Iniciativa de Sistemas Agroalimentarios, Interdisciplinary Center for Studies of Development (CIDER), Internal Audit, International Studies Center, Japan Center, Languages and Culture Department, Legal Affairs Direction, Library System, Mathematics Department, Mechanical Engineering Department, Music Department, Office of International Affairs, Philosophy Department, Physics Department, Planning Direction, Political Sciences Department, Psychology Department, School of Architecture and Design, School of Arts and Humanities, School of Economics, School of Education, School of Engineering, School of Law, School of Management, School of Management - Executive Education, School of Management - International Affairs, School of Medicine, School of Sciences, School of Social Sciences, Spanish Language Center, Systems Engineering and Computing Sciences Department, UNIANDES - Administrative Units, Universidad de Los Andes, Vice Presidency for Academic Affairs, Vice Presidency for Administration and Finance, Vice Presidency for Development and Alumni, Vice Presidency of Research and Creation","IBIO, CTP, CEDE, CEPER, CEO, CESED, IQUIM, ICYA, CODS, EDCO, CSC, DECA, DSIT, IELE, , GHDO, IIND, CIDER, CEI, IMEC, ISIS",Yes
APRU-VMPM-Universidad de los Andes-Outgoing,Outgoing,Postgraduate / Master,"Executive MBA|| Full - Time MBA|| Global MBA|| Master in Analytical Intelligence for Decision Making|| Master in Anthropology|| Master in Applied Economics|| Master in Architecture|| Master in Architectures of Information Technology|| Master in Biomedical Engineering|| Master in Business Information Technology|| Master in Chemical Engineering|| Master in Chemistry|| Master in Civil Engineering|| Master in Clinical and Health Psychology|| Master in Computational Biology|| Master in Computing and Systems Engineering|| Master in Cultural Studies|| Master in Design|| Master in Development Management and Practice|| Master in Economics|| Master in Education|| Master in Electrical Engineering|| Master in Electronic and Computer Engineering|| Master in Environmental Engineering|| Master in Environmental Management|| Master in Finance|| Master in Gender|| Master in Geography|| Master in History|| Master in Industrial Engineering|| Master in Information Security|| Master in Intellectual Property|| Master in Interdisciplinary Studies on Development|| Master in International Law|| Master in International Studies|| Master in Journalism|| Master in Law|| Master in Law, Government and Justice Management|| Master in Literature|| Master in Marketing|| Master in Mathematics|| Master in Mathematics Education|| Master in Mechanical Engineering|| Master in Petroleum Engineering|| Master in Philosophy|| Master in Physics|| Master in Political Science|| Master in Private Law|| Master in Processes and Products Design|| Master in Psychology|| Master in Public Health|| Master in Public Law for administrative management|| Master in Public Policy|| Master in Research in Management|| Master in Software Engineering|| Master in Taxatation|| Master in Teaching of Foreign Languages|| Master in Urban and Regional Planning|| Part - Time MBA|| Biological Sciences Msc|| Master in Digital Humanities|| Master in Peace Building|| Master in Public Management|| Master in Regulation|| Master in Art History|| Master in Fine Arts|| Master in Movable Cultural Heritage|| Master in Music|| Master in Supply Chain Management|| International master in Finance|| Master in Technology Innovation Management|| Other Master Program|| Master in Epidemiology|| Master in Information Engineering|| Master in Biological Sciences","Australian National University, California Institute of Technology, Chulalongkorn University, Far Eastern Federal University, Fudan University, Harbin Institute of Technology, Instituto Tecnológico y de Estudios Superiores de Monterrey (ITESM), Instituto Tecnológico y de Estudios Superiores de Monterrey, Campus Guadalajara, Keio University, Keio University - Keio Business School, Korea Advanced Institute of Science and Technology, Korea University, Kyushu University, Monash University, Nagoya University, Nanjing University, Nanyang Technological University, National Taiwan University, National Tsing Hua University, National University of Singapore, Osaka University, Peking University, Pohang University of Science and Technology, Seoul National University, Shanghai Jiao Tong University, Simon Fraser University, Sun Yat-Sen University, The Chinese University of Hong Kong, Shenzhen, The Hong Kong University of Science and Technology, The University of Auckland, The University of Hong Kong, The University of Queensland, Tohoku University, Tongji University, Tsinghua University, Universidad de Chile, Universidad San Francisco de Quito, Universitas Indonesia, Universiti Malaya (UM), University of California Berkeley - Haas School of Business, University of California San Diego, University of California, Berkeley, University of California, Davis, University of California, Los Angeles, University of California, Riverside, University of California, Santa Barbara, University of California, Santa Cruz, University of Chinese Academy of Sciences, University of Hawaii at Manoa, University of Melbourne, University of New South Wales, University of Oregon, University of Science and Technology of China (USTC), University of Southern California, University of Sydney, University of the Philippines Manila, University of Washington, Waseda University, Xi'an Jiaotong University, Yonsei University, Zhejiang University","Anthropology Department, Architecture Department, Art Department, Art History Department, Biological Sciences Department, Biomedical Engineering Department, Campus Management, Careers Center, CEDE, Center for Journalism Studies, Center for Orinoquia Studies, Centro de Estudios sobre Seguridad y Drogas - CESED, Chemical Engineering Department, Chemistry Department, Civil and Environmental Engineering Department, CODS - Centro de Desarrollo Sostenible para América Latina, Conecta-TE, Confucius Institute, Continuing Education Direction, CSC - Shared Service Center, Cultural Center, Dean of Students Office, Design Department, Direction of Admissions and Registration, Direction of Information and Technology Services, Electrical and Electronic Engineering Department, Ethics Center, Finance Direction, Fondo de Profesores y Empleados de la Universidad de los Andes, General Secretary, Geosciences Department, Government School Alberto Lleras Camargo, History Department, Human Resources, Humanities and Literature Department, Industrial Engineering Department, Iniciativa de Sistemas Agroalimentarios, Interdisciplinary Center for Studies of Development (CIDER), Internal Audit, International Studies Center, Japan Center, Languages and Culture Department, Legal Affairs Direction, Library System, Mathematics Department, Mechanical Engineering Department, Music Department, Office of International Affairs, Philosophy Department, Physics Department, Planning Direction, Political Sciences Department, Psychology Department, School of Architecture and Design, School of Arts and Humanities, School of Economics, School of Education, School of Engineering, School of Law, School of Management, School of Management - Executive Education, School of Management - International Affairs, School of Medicine, School of Sciences, School of Social Sciences, Spanish Language Center, Systems Engineering and Computing Sciences Department, UNIANDES - Administrative Units, Universidad de Los Andes, Vice Presidency for Academic Affairs, Vice Presidency for Administration and Finance, Vice Presidency for Development and Alumni, Vice Presidency of Research and Creation","IBIO, CTP, CEDE, CEPER, CEO, CESED, IQUIM, ICYA, CODS, EDCO, CSC, DECA, DSIT, IELE, , GHDO, IIND, CIDER, CEI, IMEC, ISIS",Yes
Arte In situ-School of Arts and Humanities-Universidad de los Andes,Outgoing,,Anthropology Bsc|| Architecture Bsc|| Art History Bsc|| Arts Bsc|| Biology Bsc|| Microbiology Bsc|| Biomedical Engineering Bsc|| Chemical Engineering Bsc|| Chemistry Bsc|| Civil Engineering Bsc|| Environmental Engineering Bsc|| Design Bsc|| Electrical Engineering Bsc|| Electronic Engineering Bsc|| Geosciences Bsc|| Government and Public Policy Bsc|| History Bsc|| Literature Bsc|| Industrial Engineering Bsc|| Languages and Culture Bsc|| Mathematics Bsc|| Mechanical Engineering Bsc|| Music Bsc|| Philosophy Bsc|| Physics Bsc|| Political Science Bsc|| Psychology Bsc|| Economics Bsc|| Education Bsc / Arts|| Education Bsc / Early Childhood|| Education Bsc / Humanities|| Education Bsc / Mathematics|| Education Bsc / Biology|| Education Bsc / History|| Law Bsc|| Administration Bsc|| Systems and Computing Engineering Bsc,,"Anthropology Department, Architecture Department, Art Department, Art History Department, Biological Sciences Department, Biomedical Engineering Department, Campus Management, Careers Center, CEDE, Center for Journalism Studies, Center for Orinoquia Studies, Centro de Estudios sobre Seguridad y Drogas - CESED, Chemical Engineering Department, Chemistry Department, Civil and Environmental Engineering Department, CODS - Centro de Desarrollo Sostenible para América Latina, Conecta-TE, Confucius Institute, Continuing Education Direction, CSC - Shared Service Center, Cultural Center, Dean of Students Office, Design Department, Direction of Admissions and Registration, Direction of Information and Technology Services, Electrical and Electronic Engineering Department, Ethics Center, Finance Direction, Fondo de Profesores y Empleados de la Universidad de los Andes, General Secretary, Geosciences Department, Government School Alberto Lleras Camargo, History Department, Human Resources, Humanities and Literature Department, Industrial Engineering Department, Iniciativa de Sistemas Agroalimentarios, Interdisciplinary Center for Studies of Development (CIDER), Internal Audit, International Studies Center, Japan Center, Languages and Culture Department, Legal Affairs Direction, Library System, Mathematics Department, Mechanical Engineering Department, Music Department, Office of International Affairs, Philosophy Department, Physics Department, Planning Direction, Political Sciences Department, Psychology Department, School of Architecture and Design, School of Arts and Humanities, School of Economics, School of Education, School of Engineering, School of Law, School of Management, School of Management - Executive Education, School of Management - International Affairs, School of Medicine, School of Sciences, School of Social Sciences, Spanish Language Center, Systems Engineering and Computing Sciences Department, UNIANDES - Administrative Units, Universidad de Los Andes, Vice Presidency for Academic Affairs, Vice Presidency for Administration and Finance, Vice Presidency for Development and Alumni, Vice Presidency of Research and Creation","IBIO, CTP, CEDE, CEPER, CEO, CESED, IQUIM, ICYA, CODS, EDCO, CSC, DECA, DSIT, IELE, , GHDO, IIND, CIDER, CEI, IMEC, ISIS",Yes
BORRAR-Cooperation Agreement-Exchange Master Student -Ecole Centrale Nantes-Universidad de los Andes-Outgoing,Outgoing,Postgraduate / Master,"Executive MBA|| Full - Time MBA|| Global MBA|| Master in Analytical Intelligence for Decision Making|| Master in Anthropology|| Master in Applied Economics|| Master in Architecture|| Master in Architectures of Information Technology|| Master in Biomedical Engineering|| Master in Business Information Technology|| Master in Chemical Engineering|| Master in Chemistry|| Master in Civil Engineering|| Master in Clinical and Health Psychology|| Master in Computational Biology|| Master in Computing and Systems Engineering|| Master in Cultural Studies|| Master in Design|| Master in Development Management and Practice|| Master in Economics|| Master in Education|| Master in Electrical Engineering|| Master in Electronic and Computer Engineering|| Master in Environmental Engineering|| Master in Environmental Management|| Master in Finance|| Master in Gender|| Master in Geography|| Master in History|| Master in Industrial Engineering|| Master in Information Security|| Master in Intellectual Property|| Master in Interdisciplinary Studies on Development|| Master in International Law|| Master in International Studies|| Master in Journalism|| Master in Law|| Master in Law, Government and Justice Management|| Master in Literature|| Master in Marketing|| Master in Mathematics|| Master in Mathematics Education|| Master in Mechanical Engineering|| Master in Petroleum Engineering|| Master in Philosophy|| Master in Physics|| Master in Political Science|| Master in Private Law|| Master in Processes and Products Design|| Master in Psychology|| Master in Public Health|| Master in Public Law for administrative management|| Master in Public Policy|| Master in Regional Education|| Master in Research in Management|| Master in Software Engineering|| Master in Taxatation|| Master in Teaching of Foreign Languages|| Master in Urban and Regional Planning|| Part - Time MBA|| Biological Sciences Msc|| Master in Digital Humanities|| Master in Peace Building|| Master in Public Management|| Master in Regulation|| Master in Art History|| Master in Fine Arts|| Master in Movable Cultural Heritage|| Master in Music|| Master in Supply Chain Management|| International master in Finance|| Master in Technology Innovation Management|| Other Master Program",Ecole Centrale Nantes,"Anthropology Department, Architecture Department, Art Department, Art History Department, Biological Sciences Department, Biomedical Engineering Department, Campus Management, Careers Center, CEDE, Center for Journalism Studies, Center for Orinoquia Studies, Centro de Estudios sobre Seguridad y Drogas - CESED, Chemical Engineering Department, Chemistry Department, Civil and Environmental Engineering Department, CODS - Centro de Desarrollo Sostenible para América Latina, Conecta-TE, Confucius Institute, Continuing Education Direction, CSC - Shared Service Center, Cultural Center, Dean of Students Office, Design Department, Direction of Admissions and Registration, Direction of Information and Technology Services, Electrical and Electronic Engineering Department, Ethics Center, Finance Direction, Fondo de Profesores y Empleados de la Universidad de los Andes, General Secretary, Geosciences Department, Government School Alberto Lleras Camargo, History Department, Human Resources, Humanities and Literature Department, Industrial Engineering Department, Iniciativa de Sistemas Agroalimentarios, Interdisciplinary Center for Studies of Development (CIDER), Internal Audit, International Studies Center, Japan Center, Languages and Culture Department, Legal Affairs Direction, Library System, Mathematics Department, Mechanical Engineering Department, Music Department, Office of International Affairs, Philosophy Department, Physics Department, Planning Direction, Political Sciences Department, Psychology Department, School of Architecture and Design, School of Arts and Humanities, School of Economics, School of Education, School of Engineering, School of Law, School of Management, School of Management - Executive Education, School of Management - International Affairs, School of Medicine, School of Sciences, School of Social Sciences, Spanish Language Center, Systems Engineering and Computing Sciences Department, UNIANDES - Administrative Units, Universidad de Los Andes, Vice Presidency for Academic Affairs, Vice Presidency for Administration and Finance, Vice Presidency for Development and Alumni, Vice Presidency of Research and Creation","IBIO, CTP, CEDE, CEPER, CEO, CESED, IQUIM, ICYA, CODS, EDCO, CSC, DECA, DSIT, IELE, , GHDO, IIND, CIDER, CEI, IMEC, ISIS",Yes
